Soil_sample,h,theta
Silt_Loam_UNSODA_3090,10,0.412
Silt_Loam_UNSODA_3090,50,0.368
Silt_Loam_UNSODA_3090,100,0.337
Silt_Loam_UNSODA_3090,250,0.285
Silt_Loam_UNSODA_3090,500,0.247
Silt_Loam_UNSODA_3090,1000,0.228
Silt_Loam_UNSODA_3090,27000,0.133
Silt_Loam_UNSODA_3090,200000,0.076
Silt_Loam_UNSODA_3090,390000,0.063
Silt_Loam_UNSODA_3090,1514000,0.049
Silt_Loam_UNSODA_3090,2820000,0.031
Sand_UNSODA_4520,4,0.354
Sand_UNSODA_4520,11,0.349
Sand_UNSODA_4520,21,0.345
Sand_UNSODA_4520,34,0.326
Sand_UNSODA_4520,40,0.27
Sand_UNSODA_4520,52,0.172
Sand_UNSODA_4520,63,0.1
Sand_UNSODA_4520,84,0.06
Sand_UNSODA_4520,117,0.044
Sand_UNSODA_4520,143,0.037
Sand_UNSODA_4520,1000,0.032
Sand_UNSODA_4520,16000,0.02
Sand_UNSODA_4520,850000,0.005
Sandy_Loam,1.019368,0.43
Sandy_Loam,2.0834666,0.42026694
Sandy_Loam,10.398252,0.40999688
Sandy_Loam,32.153425,0.38005932
Sandy_Loam,103.35975,0.32964877
Sandy_Loam,196.7442,0.24923353
Sandy_Loam,488.25203,0.15968935
Sandy_Loam,2436.7886,0.07960974
Sandy_Loam,14910.512,0.039402123
Sandy_Loam,1487610.1,0.009128942
Gilat_Loam,1.4,0.44
Gilat_Loam,3,0.4350016
Gilat_Loam,10,0.4299988
Gilat_Loam,30,0.420002
Gilat_Loam,39,0.3999996
Gilat_Loam,44.7,0.3800016
Gilat_Loam,49.6,0.3599992
Gilat_Loam,54.5,0.3400012
Gilat_Loam,60,0.3199988
Gilat_Loam,66,0.3000008
Gilat_Loam,72.5,0.2799984
Gilat_Loam,77.5,0.2600004
Gilat_Loam,86,0.239998
Gilat_Loam,98,0.22
Gilat_Loam,114,0.200002
Gilat_Loam,145,0.1799996
Gilat_Loam,220,0.1600016
Gilat_Loam,410,0.1399992
Gilat_Loam,925,0.1200012
Gilat_Loam,2650,0.0999988
